,Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Rating,USD_MSRP
1706,4515-1,Straight Rails,1991,Trains,Modern day,9V,Normal,Box,0,Retail,8.0,0.0,4.0,12.99
1707,4520-1,Curved Rails,1991,Trains,Modern day,9V,Normal,Box,0,Retail,8.0,0.0,3.8,12.99
1708,4531-1,Manual Points with Track,1991,Trains,Modern day,9V,Normal,Box,0,Retail,6.0,0.0,4.0,27.99
1713,4548-1,Transformer and Speed Regulator,1991,Trains,Modern day,9V,Normal,Box,0,Retail,3.0,0.0,3.7,41.99
2397,626-1,"Building Plate, Green",1996,Basic,Basic,Supplementaries,Normal,Other,0,Retail,1.0,0.0,4.1,4.99
2399,628-1,X-Large Baseplate Grey,1996,Basic,Basic,Supplementaries,Normal,Shrink-wrapped,0,Retail,1.0,0.0,4.0,14.99
2401,630-1,"Brick Separator, Green",1996,Basic,Basic,Supplementaries,Normal,Polybag,0,Retail,1.0,0.0,4.4,2.49
2602,9833-1,Transformer 9 V,1996,Dacta,Educational,,Normal,{Not specified},0,{Not specified},1.0,0.0,0.0,23.99
2787,6323-1,"Road Plates, Cross",1997,Town,Modern day,Accessories,Normal,Shrink-wrapped,0,Retail,2.0,0.0,3.9,6.99
3232,9279-1,Small Building Plates,1998,Dacta,Educational,System,Normal,{Not specified},0,{Not specified},9.0,0.0,0.0,14.99
3444,4519-1,Rail Crossing,1999,Trains,Modern day,9V,Normal,Box,0,Retail,1.0,0.0,3.9,9.99
3765,3458-1,2x4 Black Bricks,2000,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,50.0,0.0,0.0,6.99
3768,3461-1,2x4 Dark Green Bricks,2000,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,50.0,0.0,0.0,6.99
3769,3462-1,2x4 Red Bricks,2000,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,50.0,0.0,0.0,6.99
3777,3470-1,1x4 White Bricks,2000,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,50.0,0.0,0.0,5.99
3792,3485-1,2x4 Red Plates,2000,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,100.0,0.0,0.0,8.99
3796,3489-1,2x8 Black Plates,2000,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,25.0,0.0,0.0,4.99
3813,3731-1,Pumpkin Pack,2000,Bulk Bricks,Basic,Seasonal,Normal,Polybag,0,LEGO exclusive,87.0,0.0,0.0,9.99
3814,3732-1,Castle Expander Pack,2000,Bulk Bricks,Basic,Castle,Normal,Polybag,0,LEGO exclusive,24.0,0.0,0.0,4.99
3816,3734-1,Blue Train Windows with Panes,2000,Bulk Bricks,Basic,Trains,Normal,Polybag,0,LEGO exclusive,20.0,0.0,0.0,5.99
3983,B003-1,"1x4x6 Red Door and Frames, Transparent Green Panes",2000,Bulk Bricks,Basic,,Other,Polybag,0,LEGO exclusive,10.0,0.0,0.0,9.99
3985,B005-1,"2 x 4 Ridge Roof Tiles, Low Sloped Red",2000,Bulk Bricks,Basic,,Other,Polybag,0,LEGO exclusive,25.0,0.0,0.0,4.99
4141,3750-1,Life On Mars Accessories,2001,Bulk Bricks,Basic,Space,Normal,Polybag,0,LEGO exclusive,48.0,0.0,0.0,4.99
4368,10010-1,Assorted Yellow Bricks,2001,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,62.0,0.0,0.0,4.99
4369,10011-1,Assorted Blue Plates,2001,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,42.0,0.0,0.0,4.99
4373,10015-1,Green Passenger Wagon,2001,Trains,Modern day,9V,Normal,Box,1,Retail - limited,194.0,0.0,3.8,19.99
4381,10114-1,2 x 2 Sand Red Roof Tile,2001,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,100.0,0.0,0.0,7.99
4382,10115-1,Jumper Bricks,2001,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,80.0,0.0,0.0,4.99
4523,4109-1,"Road Plates, Curved",2002,Town,Modern day,Accessories,Normal,Shrink-wrapped,0,Retail,2.0,0.0,0.0,6.99
4769,10030-1,Imperial Star Destroyer,2002,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3096.0,0.0,4.6,269.99
4775,10044-1,Windows and Doors,2002,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,44.0,0.0,0.0,7.99
4778,10047-1,Arch,2002,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,36.0,0.0,0.0,5.99
4785,10054-1,Black Roof Tiles,2002,Bulk Bricks,Basic,,Normal,Polybag,0,LEGO exclusive,68.0,0.0,0.0,5.99
