Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Rating,USD_MSRP
10015-1,Green Passenger Wagon,2001,Trains,Modern day,9V,Normal,Box,1,Retail - limited,194.0,0.0,3.8,19.99
10030-1,Imperial Star Destroyer,2002,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3096.0,0.0,4.6,269.99
10153-1,Train Motor 9 V,2002,Trains,Modern day,9V,Normal,Box,1,Retail - limited,3.0,0.0,4.2,24.99
10080-1,Angel,2003,Seasonal,Miscellaneous,Christmas,Normal,Polybag,1,LEGO exclusive,33.0,0.0,0.0,2.49
5942-1,Pop Studio,2004,Belville,Girls,,Normal,{Not specified},2,{Not specified},102.0,1.0,0.0,22.99
5963-1,The Princess and the Pea,2005,Belville,Girls,,Normal,{Not specified},1,{Not specified},55.0,1.0,0.0,19.99
7235-1,Police Motorcycle,2005,City,Modern day,Police,Normal,Box,2,Retail,28.0,1.0,3.6,3.99
7236-1,Police Car,2005,City,Modern day,Police,Normal,Box,2,Retail,59.0,1.0,3.5,5.99
7237-1,Police Station,2005,City,Modern day,Police,Normal,Box,10,Retail,586.0,5.0,4.7,69.99
7238-1,Fire Helicopter,2005,City,Modern day,Fire,Normal,Box,2,Retail,75.0,1.0,3.5,9.99
7239-1,Fire Truck,2005,City,Modern day,Fire,Normal,Box,4,Retail,214.0,2.0,4.0,22.99
7241-1,Fire Car,2005,City,Modern day,Fire,Normal,Box,2,Retail,46.0,1.0,3.5,3.99
7242-1,Street Sweeper,2005,City,Modern day,Construction,Normal,Box,2,Retail,63.0,1.0,3.9,7.99
7243-1,Construction Site,2005,City,Modern day,Construction,Normal,Box,5,Retail,298.0,3.0,3.9,39.99
7244-1,Speedboat,2005,City,Modern day,Harbor,Normal,Box,2,Retail,107.0,2.0,3.4,29.99
7245-1,Prisoner Transport,2005,City,Modern day,Police,Normal,Box,1,Retail,98.0,2.0,3.9,12.99
7246-1,Mini Digger,2005,City,Modern day,Construction,Normal,Box,2,Retail,36.0,1.0,3.4,3.99
7248-1,Digger,2005,City,Modern day,Construction,Normal,Box,4,Retail,127.0,1.0,3.6,19.99
7249-1,XXL Mobile Crane,2005,City,Modern day,Construction,Normal,Box,5,Retail,524.0,2.0,4.3,69.99
8416-1,Fork-Lift,2005,Technic,Technical,,Normal,Box,3,Retail,729.0,0.0,3.9,69.99
8418-1,Mini Loader,2005,Technic,Technical,,Normal,Box,2,Retail,66.0,0.0,3.6,5.99
8654-1,Scuderia Ferrari Truck,2005,Racers,Racing,Ferrari,Normal,Box,5,Retail,813.0,6.0,4.1,79.99
8736-1,Toa Hordika Vakama,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},1,{Not specified},48.0,0.0,3.9,8.99
8791-1,Sir Danju,2005,Castle,Historical,Knights' Kingdom II,Normal,{Not specified},1,{Not specified},42.0,0.0,3.3,8.99
10143-1,Death Star II,2005,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3441.0,0.0,4.4,269.99
10144-1,Sandcrawler,2005,Star Wars,Licensed,Episode IV,Normal,Box,1,LEGO exclusive,1669.0,11.0,4.4,139.99
10168-1,Mrs. Bunny,2005,Seasonal,Miscellaneous,Easter,Normal,Polybag,1,LEGO exclusive,61.0,0.0,0.0,3.99
10169-1,Chicken & Chicks,2005,Seasonal,Miscellaneous,Easter,Normal,Polybag,1,LEGO exclusive,57.0,0.0,0.0,3.99
3825-1,Krusty Krab,2006,SpongeBob SquarePants,Licensed,,Normal,Box,2,Retail,295.0,3.0,4.1,19.99
